questions,answers
how are you?,i'm very good
i want to visit jordan,"you should, it's a very beautiful country."
what's your name?,my name is JObot
what's your age?,"i'm a chatbot, age is a virtual thing for me."
what do you do?,"i'm here to answer your questions about jordan, and tell you about places that you can go to there"
tell me about jordan?,"jordan is an Arab country in Western Asia, on the East Bank of the Jordan River. Jordan is bordered by Saudi Arabia to the south and the east, Iraq to the north-east, Syria to the north and Israel and the Palestinian West Bank to the west. The Dead Sea is located along its western borders and the country has a 26-kilometre (16 mi) coastline on the Red Sea in its extreme south-west. Jordan is strategically located at the crossroads of Asia, Africa and Europe. The capital, Amman, is Jordan's most populous city as well as the country's economic, political and cultural centre."
can i ask you a question?,yes of course
i want to ask you a question?,i'll be glad to answer your question
places that i can go to in jordan?,what kind of places do you like to go to?
places in jordan,"yes, there is a lot of places, like castles and meuseums, aslo you can go to downtown amman, it's a very popular place and tourists always starts with when they come to jordan. "
tell me about downtown,"well, it's called al balad, a very good place to start with, it's full of history where you can see the roman theature, and alhusseini mosque, also you must try the traditional food there, like hummus at hashim's resturant and knafeh at habiba, other thing you can do is buy some suvenoures, it's really inexpensive!"
tell me about petra,"petra is a historical and archaeological city in southern Jordan. Petra lies on the slope of Jabal Al-Madbah in a basin among the mountains which form the eastern flank of the Arabah valley that runs from the Dead Sea to the Gulf of Aqaba. Petra is believed to have been settled as early as 9,000 BC, and it was possibly established in the 4th century BC as the capital city of the Nabataean Kingdom. The Nabataeans were nomadic Arabs who invested in Petra's proximity to the trade routes by establishing it as a major regional trading hub."
tell me about jerash ," is a city in northern Jordan. The city is the administrative center of the Jerash Governorate, and has a population of 50,745 as of 2015. It is located 48 kilometres (30 mi) north of the capital city Amman. The earliest evidence of settlement in Jerash is in a Neolithic site known as Tal Abu Sowan, where rare human remains dating to around 7500 BC were uncovered. Jerash flourished during the Greco and Roman periods until the mid-eighth century CE, when the 749 Galilee earthquake destroyed large parts of it, while subsequent earthquakes contributed to additional destruction. However, in the year 1120, Zahir ad-Din Toghtekin, atabeg of Damascus ordered a garrison of forty men stationed in Jerash to convert the Temple of Artemis into a fortress. It was captured in 1121 by Baldwin II, King of Jerusalem, and utterly destroyed. Then, the Crusaders immediately abandoned Jerash and withdrew to Sakib (Seecip); the eastern border of the settlement."
what kind of activities in jerash ,"The number of tourists who visited the ancient city of Jerash reached 214,000 during 2005. The number of non-Jordanian tourists was 182,000 last year, and the sum of entry charges reached JD900,000. The Jerash Festival of Culture and Arts is an annual celebration of Arabic and international culture during the summer months. Jerash is located 48 km north of the capital city of Amman. The festival site is located within the ancient ruins of Jerash, some of which date to the Roman age (63 BC).Jerash Festival is a festival which features poetry recitals, theatrical performances, concerts and other forms of art.In 2008, authorities launched Jordan Festival, a nationwide theme-oriented event under which Jerash Festival became a component.However the government revived the Jerash Festival as the 'substitute (Jordan Festival) proved to be not up to the message intended from the festival."
tell me about um qais,"is a town in northern Jordan principally known for its proximity to the ruins of the ancient Gadara (in some texts Gedaris), also a former bishopric and present Latin Catholic titular see.It lies in the Bani Kinanah Department and Irbid Governorate in the extreme northwest of the country, near Jordan's borders with Israel and Syria. It is perched on a hilltop 378 metres (1,240 ft) above sea level overlooking the Sea of Tiberias, the Golan Heights, and the Yarmouk River gorge."
what kind of activities in um qais," Many visitors come to Um Qais on day trips from the capital, Amman, roughly 110 kilometres (68 mi) to the south, to see its extensive ruins and enjoy its panoramic views. The Sea of Galilee and Tiberias, Israel, are visible, and just across the valley of the Yarmouk River is the southern end of the Golan Heights, Syria,under Israeli occupation since the Six-Day War in 1967. Mount Hermon bordering Lebanon is visible in the distance on clear days."
tell me about aqaba,"is the only coastal city in Jordan and the largest and most populous city on the Gulf of Aqaba. Situated in southernmost Jordan, Aqaba is the administrative centre of the Aqaba Governorate.The city had a population of 148,398 in 2015 and a land area of 375 square kilometres (144.8 sq mi).Today, Aqaba plays a major role in the development of the Jordanian economy, through the vibrant trade and tourism sectors. The Port of Aqaba also serves other countries in the region.Aqaba's strategic location at the northeastern tip of the Red Sea between the continents of Asia and Africa, has made its port important over the course of thousands of years."
what kind of activities in aqaba,"it's a coastal city, you'll enjoy hanging out on the beach, and a lot of activities in the sea"
tell me about wadi rum ,"known also as the Valley of the moon, is a valley cut into the sandstone and granite rock in southern Jordan 60 km (37 mi) to the east of Aqaba; it is the largest valey in Jordan."
